Gas,Year,Emission
Carbon dioxide,1990,5121.179439636218
Methane,1990,779.84555008836
Nitrous oxide,1990,370.30769424657234
Fluorinated gases,1990,99.66785871991699
Total,1990,6371.000542691067
Carbon dioxide,1991,5071.563914129351
Methane,1991,784.3848559318898
Nitrous oxide,1991,368.96175654445284
Fluorinated gases,1991,90.704667591439
Total,1991,6315.615194197133
Carbon dioxide,1992,5174.670600727453
Methane,1992,783.1766019546326
Nitrous oxide,1992,371.78644214002594
Fluorinated gases,1992,95.30071178966601
Total,1992,6424.934356611779
Carbon dioxide,1993,5281.386608386349
Methane,1993,770.3084041318649
Nitrous oxide,1993,385.34723368327593
Fluorinated gases,1993,95.027349663055
Total,1993,6532.069595864544
Carbon dioxide,1994,5375.033803130697
Methane,1994,775.160650514985
Nitrous oxide,1994,376.511527218881
Fluorinated gases,1994,98.12980647571301
Total,1994,6624.835787340277
Carbon dioxide,1995,5436.697985645714
Methane,1995,767.8453442280825
Nitrous oxide,1995,388.5028303445532
Fluorinated gases,1995,117.021136968667
Total,1995,6710.067297187016
Carbon dioxide,1996,5625.041884958041
Methane,1996,759.4911581680075
Nitrous oxide,1996,395.5457488698874
Fluorinated gases,1996,127.62026237937
Total,1996,6907.699054375305
Carbon dioxide,1997,5701.920919441467
Methane,1997,744.9329261886476
Nitrous oxide,1997,386.6083756346636
Fluorinated gases,1997,134.999749563835
Total,1997,6968.4619708286145
Carbon dioxide,1998,5749.8930563288695
Methane,1998,729.6183166198474
Nitrous oxide,1998,402.4957706319017
Fluorinated gases,1998,150.518866467608
Total,1998,7032.526010048226
Carbon dioxide,1999,5829.51995115461
Methane,1999,717.4510349205575
Nitrous oxide,1999,377.09124948379514
Fluorinated gases,1999,147.399221231335
Total,1999,7071.461456790295
Carbon dioxide,2000,5997.2989122470835
Methane,2000,709.304022944265
Nitrous oxide,2000,376.9972543560089
Fluorinated gases,2000,148.410584125504
Total,2000,7232.010773672862
Carbon dioxide,2001,5899.855484554803
Methane,2001,703.9150035432373
Nitrous oxide,2001,378.0653569261638
Fluorinated gases,2001,134.9742367743003
Total,2001,7116.810081798506
Carbon dioxide,2002,5942.421409609994
Methane,2002,694.9536317309227
Nitrous oxide,2002,376.41338568595717
Fluorinated gases,2002,142.86444074946718
Total,2002,7156.652867776342
Carbon dioxide,2003,5991.19093456165
Methane,2003,695.4330204986325
Nitrous oxide,2003,379.93842537493737
Fluorinated gases,2003,132.70028115002108
Total,2003,7199.2626615852405
Carbon dioxide,2004,6105.444109771077
Methane,2004,687.5489886711949
Nitrous oxide,2004,400.2525741730426
Fluorinated gases,2004,139.80637676993152
Total,2004,7333.0520493852455
Carbon dioxide,2005,6130.552416529034
Methane,2005,691.430647689735
Nitrous oxide,2005,375.7804721868717
Fluorinated gases,2005,141.27633214478118
Total,2005,7339.039868550422
Carbon dioxide,2006,6050.3846037128915
Methane,2006,691.97779763893
Nitrous oxide,2006,384.39888434413115
Fluorinated gases,2006,143.56566277376757
Total,2006,7270.32694846972
Carbon dioxide,2007,6127.888221116617
Methane,2007,694.6075836558848
Nitrous oxide,2007,393.0300102901294
Fluorinated gases,2007,154.4418911253911
Total,2007,7369.967706188022
Carbon dioxide,2008,5928.256328994962
Methane,2008,702.3033840764525
Nitrous oxide,2008,374.5465556573022
Fluorinated gases,2008,155.49454402945796
Total,2008,7160.600812758175
Carbon dioxide,2009,5493.547908151845
Methane,2009,692.6761272848775
Nitrous oxide,2009,373.2599578788414
Fluorinated gases,2009,149.8851514917996
Total,2009,6709.369144807363
Carbon dioxide,2010,5700.108336541933
Methane,2010,697.4504035322376
Nitrous oxide,2010,382.9293777170855
Fluorinated gases,2010,158.10356289461149
Total,2010,6938.591680685866
Carbon dioxide,2011,5572.584775486274
Methane,2011,675.5449016854825
Nitrous oxide,2011,375.0738150219482
Fluorinated gases,2011,164.21553555974805
Total,2011,6787.419027753454
Carbon dioxide,2012,5371.777170152367
Methane,2012,665.3724035236098
Nitrous oxide,2012,348.87612772585
Fluorinated gases,2012,159.94362995071398
Total,2012,6545.969331352541
Carbon dioxide,2013,5522.908365433173
Methane,2013,663.0426411528675
Nitrous oxide,2013,365.354276562122
Fluorinated gases,2013,158.91289219802417
Total,2013,6710.218175346186
Carbon dioxide,2014,5572.106312157076
Methane,2014,662.064220621265
Nitrous oxide,2014,362.7427356159064
Fluorinated gases,2014,163.082364206312
Total,2014,6759.99563260056
Carbon dioxide,2015,5422.965677347358
Methane,2015,661.395919895165
Nitrous oxide,2015,374.10888480483385
Fluorinated gases,2015,165.30499732505962
Total,2015,6623.775479372417
Carbon dioxide,2016,5306.66245700516
Methane,2016,654.8978836316827
Nitrous oxide,2016,364.4857591020937
Fluorinated gases,2016,166.2213249542436
Total,2016,6492.26742469318
Carbon dioxide,2017,5270.7485254358335
Methane,2017,656.3166790862375
Nitrous oxide,2017,360.5156614577768
Fluorinated gases,2017,169.1373268495251
Total,2017,6456.718192829372
